id,titles,urls,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
137,America's Next Great Restaurant,/wiki/America%27s_Next_Great_Restaurant,530,164,"286
                                ·
                                (54%)","1,328",12
138,America's Next Top Model,/wiki/America%27s_Next_Top_Model,"14,606","4,398","2,002
                                ·
                                (13.7%)","2,437","1,165"
139,Amos 'n' Andy,/wiki/Amos_%27n%27_Andy,895,417,"263
                                ·
                                (29.4%)","4,302",49
140,Anchorwoman,/wiki/Anchorwoman_(TV_series),157,96,"56
                                ·
                                (35.7%)",309,8
141,Anderson Cooper 360,/wiki/Anderson_Cooper_360%C2%B0,588,329,"108
                                ·
                                (18.4%)",834,72
142,Andromeda,/wiki/Andromeda_(TV_series),"1,132",619,"168
                                ·
                                (14.8%)","1,493",55
143,The Andros Targets,/wiki/The_Andros_Targets,24,8,"21
                                ·
                                (87.5%)",236,0
144,And Then There Were None,/wiki/And_Then_There_Were_None_(miniseries),447,140,"228
                                ·
                                (51%)",735,42
145,"Andy Barker, P.I.","/wiki/Andy_Barker,_P.I.",408,194,"160
                                ·
                                (39.2%)",498,15
146,The Andy Dick Show,/wiki/The_Andy_Dick_Show,75,60,"24
                                ·
                                (32%)",378,2
147,The Andy Griffith Show,/wiki/The_Andy_Griffith_Show,"3,032",951,"1,292
                                ·
                                (42.6%)","2,716",200
148,The Andy Milonakis Show,/wiki/The_Andy_Milonakis_Show,"1,231",766,"105
                                ·
                                (8.5%)",419,145
149,Andy Richter Controls the Universe,/wiki/Andy_Richter_Controls_the_Universe,298,206,"57
                                ·
                                (19.1%)",552,16
150,The Andy Williams Show,/wiki/The_Andy_Williams_Show,193,115,"66
                                ·
                                (34.2%)",307,4
151,Andy's Gang,/wiki/Andy%27s_Gang,81,36,"55
                                ·
                                (67.9%)",709,2
152,Angel,/wiki/Angel_(1999_TV_series),"2,336","1,193","481
                                ·
                                (20.6%)","6,631",308
153,Angel from Hell,/wiki/Angel_from_Hell,343,120,"172
                                ·
                                (50.1%)",276,38
154,Angie,/wiki/Angie_(TV_series),234,136,"65
                                ·
                                (27.8%)","1,371",3
155,The Angry Beavers,/wiki/The_Angry_Beavers,"2,244","1,206","279
                                ·
                                (12.4%)",396,344
156,Animal Practice,/wiki/Animal_Practice,284,134,"102
                                ·
                                (35.9%)",410,15
157,Animaniacs,/wiki/Animaniacs,"4,289","1,619","1,087
                                ·
                                (25.3%)","4,891",486
158,The Ann Sothern Show,/wiki/The_Ann_Sothern_Show,142,55,"85
                                ·
                                (59.9%)","1,164",1
159,Another Day,/wiki/Another_Day_(TV_series),28,12,"25
                                ·
                                (89.3%)",226,0
160,Another World,/wiki/Another_World_(TV_series),"1,613",542,"629
                                ·
                                (39%)","9,200",66
161,A.N.T. Farm,/wiki/A.N.T._Farm,"3,794","1,617","733
                                ·
                                (19.3%)",911,748
162,Antiques Roadshow,/wiki/Antiques_Roadshow_(U.S.),2,???,"1
                                ·
                                (50%)",607,0
163,Antiques Roadshow,/wiki/Antiques_Roadshow,919,441,"248
                                ·
                                (27%)","1,664",64
164,Antiques Roadshow FYI,/wiki/Antiques_Roadshow_(U.S.),2,???,"1
                                ·
                                (50%)",607,0
165,Any Day Now,/wiki/Any_Day_Now_(TV_series),171,104,"43
                                ·
                                (25.1%)",826,4
166,Anything but Love,/wiki/Anything_but_Love,175,98,"77
                                ·
                                (44%)","2,855",0
167,Apple's Way,/wiki/Apple%27s_Way,84,62,"31
                                ·
                                (36.9%)",285,0
168,The Apprentice,/wiki/The_Apprentice_(U.S._TV_series),"1,325",787,"146
                                ·
                                (11%)","3,164",176
169,The Apprentice: Martha Stewart,/wiki/The_Apprentice:_Martha_Stewart,625,256,"243
                                ·
                                (38.9%)",612,18
170,Aqua Teen Hunger Force,/wiki/Aqua_Teen_Hunger_Force,"7,626","3,526","1,299
                                ·
                                (17%)","3,547",782
171,Aquaman,/wiki/Aquaman_(TV_series),159,79,"79
                                ·
                                (49.7%)",266,7
172,Aquaman,/wiki/Aquaman_(TV_program),2,???,"1
                                ·
                                (50%)","1,983",0
173,Archer,/wiki/Archer_(2009_TV_series),"3,169","1,625","488
                                ·
                                (15.4%)","3,384",263
174,Archie Bunker's Place,/wiki/Archie_Bunker%27s_Place,612,333,"144
                                ·
                                (23.5%)","1,306",33
175,The Archie Show,/wiki/The_Archie_Show,353,180,"121
                                ·
                                (34.3%)","1,068",16
176,Archie's TV Funnies,/wiki/Archie%27s_TV_Funnies,112,76,"34
                                ·
                                (30.4%)",253,14
177,Are You Afraid of the Dark?,/wiki/Are_You_Afraid_of_the_Dark%3F,"2,232","1,152","332
                                ·
                                (14.9%)","2,137",221
178,Are You Smarter Than a 5th Grader?,/wiki/Are_You_Smarter_Than_a_5th_Grader%3F_(U.S._game_show),3,???,"3
                                ·
                                (75%)","1,917",1
179,Are You Smarter Than a 5th Grader?,/wiki/Are_You_Smarter_Than_a_5th_Grader%3F_(U.S._syndicated_game_show),4,???,"3
                                ·
                                (60%)","1,917",1
180,Are You the One?,/wiki/Are_You_the_One%3F,"4,371","1,676","797
                                ·
                                (18.2%)","1,545",322
181,Ark II,/wiki/Ark_II,208,133,"52
                                ·
                                (25%)",758,11
182,Arli$$,/wiki/Arliss,296,232,"43
                                ·
                                (14.5%)",437,13
183,Army Wives,/wiki/Army_Wives,"1,109",524,"280
                                ·
                                (25.2%)","2,299",43
184,Around the Horn,/wiki/Around_the_Horn,"4,821","1,207","1,745
                                ·
                                (36.2%)","2,743",180
185,Arrested Development,/wiki/Arrested_Development_(TV_series),"6,247","3,034","1,147
                                ·
                                (18.4%)","5,225",894
186,Arrow,/wiki/Arrow_(TV_series),"7,282","2,014","2,536
                                ·
                                (34.8%)","5,715","1,490"
187,Arthur,/wiki/Arthur_(TV_series),"4,235","1,669","840
                                ·
                                (19.8%)","3,321",524
188,Arthur Godfrey and His Friends,/wiki/Arthur_Godfrey_and_His_Friends,55,37,"24
                                ·
                                (43.6%)",207,3
189,Arthur Godfrey's Talent Scouts,/wiki/Arthur_Godfrey%27s_Talent_Scouts,129,81,"44
                                ·
                                (34.1%)",589,6
