,title,year,url,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
6217,One Day at HorrorLand,1994,/wiki/One_Day_at_HorrorLand,411,241,"107
                                ·
                                (26%)",778,43
6218,One for the Money (novel),1994,/wiki/One_for_the_Money_(novel),162,110,"44
                                ·
                                (27.2%)",1304,8
6219,Passport to Danger (Nancy Drew/Hardy Boys),1994,/wiki/Passport_to_Danger_(Nancy_Drew/Hardy_Boys),22,15,"17
                                ·
                                (77.3%)",107,0
6220,Phoenix Rising (novel),1994,/wiki/Phoenix_Rising_(novel),57,40,"27
                                ·
                                (47.4%)",232,8
6221,Pigs in Heaven,1994,/wiki/Pigs_in_Heaven,84,48,"37
                                ·
                                (44%)",97,7
6222,Pulp (novel),1994,/wiki/Pulp_(novel),114,75,"41
                                ·
                                (36%)",493,2
6223,Q-Squared,1994,/wiki/Q-Squared,100,69,"32
                                ·
                                (32%)",674,1
6224,The Ramsay Scallop,1994,/wiki/The_Ramsay_Scallop,84,50,"32
                                ·
                                (38.1%)",227,11
6225,Ratha's Challenge,1994,/wiki/Ratha%27s_Challenge,17,14,"13
                                ·
                                (76.5%)",109,0
6226,Recessional (novel),1994,/wiki/Recessional_(novel),28,14,"24
                                ·
                                (85.7%)",360,1
6227,Remember Me (Mary Higgins Clark novel),1994,/wiki/Remember_Me_(Mary_Higgins_Clark_novel),53,31,"31
                                ·
                                (58.5%)",272,4
6228,"Rider, Reaper",1994,"/wiki/Rider,_Reaper",40,27,"22
                                ·
                                (55%)",1753,1
6229,The Rifles (novel),1994,/wiki/The_Rifles_(novel),34,28,"13
                                ·
                                (38.2%)",128,2
6230,Rise the Euphrates,1994,/wiki/Rise_the_Euphrates,53,23,"39
                                ·
                                (73.6%)",1231,1
6231,Road Wars (novel),1994,/wiki/Road_Wars_(novel),29,24,"14
                                ·
                                (48.3%)",379,3
6232,Rodomonte's Revenge,1994,/wiki/Rodomonte%27s_Revenge,28,20,"17
                                ·
                                (60.7%)",77,1
6233,The Ruins of Ambrai,1994,/wiki/The_Ruins_of_Ambrai,43,32,"21
                                ·
                                (48.8%)",215,0
6234,The Runaway Bride (novel),1994,/wiki/The_Runaway_Bride_(novel),35,27,"18
                                ·
                                (51.4%)",194,0
6235,The Second Generation,1994,/wiki/The_Second_Generation,67,49,"26
                                ·
                                (38.8%)",1441,2
6236,The Seventh Gate,1994,/wiki/The_Seventh_Gate,43,26,"26
                                ·
                                (60.5%)",1264,0
6237,The Sex Offender,1994,/wiki/The_Sex_Offender,44,22,"30
                                ·
                                (68.2%)",151,1
6238,She Walks These Hills,1994,/wiki/She_Walks_These_Hills,10,7,"9
                                ·
                                (90%)",34,1
6239,The Ships of Earth,1994,/wiki/The_Ships_of_Earth,76,39,"45
                                ·
                                (59.2%)",277,2
6240,The Short Victorious War,1994,/wiki/The_Short_Victorious_War,80,56,"32
                                ·
                                (40%)",717,1
6241,Siege of Darkness,1994,/wiki/Siege_of_Darkness,40,21,"29
                                ·
                                (72.5%)",249,0
6242,Skylark (novel),1994,/wiki/Skylark_(novel),67,44,"28
                                ·
                                (41.8%)",106,6
6243,"The Snake, the Crocodile, and the Dog",1994,"/wiki/The_Snake,_the_Crocodile,_and_the_Dog",30,19,"20
                                ·
                                (66.7%)",389,1
6244,Snow Angels (novel),1994,/wiki/Snow_Angels_(novel),28,15,"22
                                ·
                                (78.6%)",109,1
6245,A Son of the Circus,1994,/wiki/A_Son_of_the_Circus,44,36,"16
                                ·
                                (36.4%)",229,1
6246,Spencerville (novel),1994,/wiki/Spencerville_(novel),35,24,"20
                                ·
                                (57.1%)",127,3
6247,Sporting Chance,1994,/wiki/Sporting_Chance,32,28,"14
                                ·
                                (43.8%)",1211,0
6248,The Stalk,1994,/wiki/The_Stalk,23,17,"16
                                ·
                                (69.6%)",29,1
6249,Starmind (novel),1994,/wiki/Starmind_(novel),20,12,"18
                                ·
                                (90%)",35,1
6250,Stones from the River,1994,/wiki/Stones_from_the_River,62,48,"23
                                ·
                                (37.1%)",285,4
6251,Storming Heaven (Brown novel),1994,/wiki/Storming_Heaven_(Brown_novel),39,34,"15
                                ·
                                (38.5%)",591,2
6252,Strands of Sunlight,1994,/wiki/Strands_of_Sunlight,89,24,"74
                                ·
                                (83.1%)",857,0
6253,Strange Angels (novel),1994,/wiki/Strange_Angels_(novel),23,17,"16
                                ·
                                (69.6%)",283,0
6254,Summer of Love (novel),1994,/wiki/Summer_of_Love_(novel),14,12,"12
                                ·
                                (85.7%)",32,1
6255,Taltos (Rice novel),1994,/wiki/Taltos_(Rice_novel),79,64,"23
                                ·
                                (29.1%)",1111,4
6256,Tears of a Tiger,1994,/wiki/Tears_of_a_Tiger,482,252,"124
                                ·
                                (25.7%)",717,78
6257,Thank You for Smoking (novel),1994,/wiki/Thank_You_for_Smoking_(novel),95,75,"27
                                ·
                                (28.4%)",256,4
6258,Third and Indiana,1994,/wiki/Third_and_Indiana,155,37,"125
                                ·
                                (80.6%)",1390,4
6259,Tom Clancy's Op-Center (novel),1994,/wiki/Tom_Clancy%27s_Op-Center_(novel),58,40,"27
                                ·
                                (46.6%)",93,4
6260,Tonguing the Zeitgeist,1994,/wiki/Tonguing_the_Zeitgeist,28,9,"27
                                ·
                                (96.4%)",159,0
6261,Tripoint (novel),1994,/wiki/Tripoint_(novel),65,21,"53
                                ·
                                (81.5%)",651,0
6262,Trouble and Her Friends,1994,/wiki/Trouble_and_Her_Friends,28,20,"17
                                ·
                                (60.7%)",165,0
6263,Troubling a Star,1994,/wiki/Troubling_a_Star,43,32,"18
                                ·
                                (41.9%)",226,1
6264,True Story: A Novel,1994,/wiki/True_Story:_A_Novel,23,9,"22
                                ·
                                (95.7%)",199,1
6265,Twilight Children,1994,/wiki/Twilight_Children,31,24,"16
                                ·
                                (51.6%)",1353,2
6266,An Unfortunate Woman: A Journey,1994,/wiki/An_Unfortunate_Woman:_A_Journey,53,25,"36
                                ·
                                (67.9%)",92,1
6267,A Very Private Plot,1994,/wiki/A_Very_Private_Plot,25,17,"18
                                ·
                                (72%)",91,1
6268,Vinegar Hill (novel),1994,/wiki/Vinegar_Hill_(novel),35,28,"15
                                ·
                                (42.9%)",95,1
6269,Virtual Light,1994,/wiki/Virtual_Light,89,56,"35
                                ·
                                (39.3%)",634,1
6270,Voyager (novel),1994,/wiki/Voyager_(novel),146,91,"56
                                ·
                                (38.4%)",1268,9
6271,Waking the Moon,1994,/wiki/Waking_the_Moon,34,22,"22
                                ·
                                (64.7%)",208,0
6272,Walk Two Moons,1994,/wiki/Walk_Two_Moons,1095,695,"102
                                ·
                                (9.3%)",215,245
6273,Walking Shadow,1994,/wiki/Walking_Shadow,22,15,"17
                                ·
                                (77.3%)",75,0
6274,The Waterworks,1994,/wiki/The_Waterworks,112,49,"68
                                ·
                                (60.7%)",945,2
6275,What a Piece of Work I Am,1994,/wiki/What_a_Piece_of_Work_I_Am,37,20,"26
                                ·
                                (70.3%)",322,0
